Concurso;Local;Data do Sorteio;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Coluna 6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3;Rateio Faixa 1;Rateio Faixa 2;Rateio Faixa 3;Cidade;;Valor Arrecadado;Estimativa para o próximo concurso;Valor Acumulado Próximo Concurso;Acumulado;Sorteio Especial;Observação
;;;;;;;;;;;;;;;;;;;;;;
1;BrasÃ­lia, DF;11/03/1996;4;5;30;33;41;52;0;17;2016;0;39158,92;330,21;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
2;Belo Horizonte, MG;18/03/1996;9;37;39;41;43;49;1;65;4488;2307162,23;14424,02;208,91;;PR;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
3;BrasÃ­lia, DF;25/03/1996;10;11;29;30;36;47;2;62;4261;391192,51;10515,93;153,01;;RN;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
4;Santo AndrÃ©, SP;01/04/1996;1;5;6;27;42;59;0;39;3311;0;15322,24;180,48;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
5;BrasÃ­lia, DF;08/04/1996;1;2;6;16;19;46;0;98;5399;0;5318,1;96,53;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
6;BrasÃ­lia, DF;15/04/1996;7;13;19;22;40;47;0;109;7147;0;7214,66;110,03;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
7;BrasÃ­lia, DF;22/04/1996;3;5;20;21;38;56;0;100;5736;0;8746,05;152,48;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
8;BrasÃ­lia, DF;29/04/1996;4;17;37;38;47;53;0;60;5262;0;16084,11;183,4;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
9;BrasÃ­lia, DF;06/05/1996;8;43;54;55;56;60;0;17;2175;0;60043,79;469,31;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
10;BrasÃ­lia, DF;13/05/1996;4;18;21;25;38;57;0;251;12590;0;6638,45;132,35;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
11;BrasÃ­lia, DF;20/05/1996;15;25;37;38;58;59;1;148;9442;15591365,07;12706,05;199,16;;RJ;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
12;BrasÃ­lia, DF;27/05/1996;4;16;19;20;27;43;0;108;6454;0;6791,17;113,64;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
13;BrasÃ­lia, DF;03/06/1996;18;32;47;50;54;56;0;43;2934;0;20543,98;301,09;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
14;BrasÃ­lia, DF;10/06/1996;2;16;23;27;47;53;0;85;5323;0;10458,19;167;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
15;BrasÃ­lia, DF;17/06/1996;12;33;35;51;52;60;0;57;3931;0;17919,89;259,84;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
16;BrasÃ­lia, DF;24/06/1996;20;32;34;49;58;60;0;31;3250;0;33307,13;317,7;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
17;BrasÃ­lia, DF;01/07/1996;6;10;13;19;20;51;1;144;9376;6789869,08;7628,37;117,16;;SP;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
18;BrasÃ­lia, DF;08/07/1996;23;27;36;37;42;56;0;52;4484;0;13763,52;159,61;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
19;BrasÃ­lia, DF;15/07/1996;5;10;12;24;25;60;0;159;9250;0;5380,14;92,48;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
20;BRASÃLIA, DF;22/07/1996;11;25;28;30;33;51;0;72;5728;0;15486,97;194,67;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
21;Bauru, SP;29/07/1996;6;33;36;46;49;53;0;63;5030;0;17694,19;221,62;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
22;BrasÃ­lia, DF;05/08/1996;1;9;31;38;46;56;0;47;4865;0;27212,9;262,9;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
23;BrasÃ­lia, DF;12/08/1996;17;37;39;51;52;59;0;74;4897;0;20198,46;305,23;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
24;;19/08/1996;1;8;14;28;33;43;1;227;13486;18661679,61;7897,31;132,93;;;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
25;Barretos, SP;25/08/1996;24;43;50;54;55;56;0;28;2741;0;26338,5;269,06;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
26;RibeirÃ£o Preto, SP;01/09/1996;10;22;50;53;57;58;0;16;1823;0;52473,74;460,55;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
27;BrasÃ­lia, DF;08/09/1996;13;17;20;33;44;51;0;99;6466;0;9306,24;142,49;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
28;BrasÃ­lia, DF;15/09/1996;3;6;22;24;54;60;0;50;4895;0;19749,22;201,73;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
29;BrasÃ­lia, DF;22/09/1996;3;8;14;43;56;58;1;44;5248;5401793,6;23083,15;193,53;;RS;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
30;BrasÃ­lia, DF;29/09/1996;7;14;15;29;38;50;0;80;5885;0;11347,74;154,26;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
31;BrasÃ­lia, DF;06/10/1996;17;19;28;45;48;56;0;103;5680;0;8793,04;159,45;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
32;BrasÃ­lia, DF;13/10/1996;5;14;33;36;43;44;0;96;6876;0;11430,91;159,6;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
33;BrasÃ­lia, DF;20/10/1996;5;17;33;39;42;49;1;128;8722;13997410,74;9545,76;140,09;;MG;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
34;BrasÃ­lia, DF;27/10/1996;13;15;17;40;53;57;0;51;2627;0;13604,06;264,11;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
35;BrasÃ­lia, DF;03/11/1996;4;16;21;23;54;57;0;39;3576;0;20051,18;218,68;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
36;SÃ£o Bento do Sul, SC;10/11/1996;3;13;17;25;29;51;0;143;8548;0;6238,12;104,36;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
37;BrasÃ­lia, DF;17/11/1996;6;7;22;38;52;60;0;47;3695;0;16848,61;214,32;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
38;BrasÃ­lia, DF;24/11/1996;10;42;43;45;54;55;0;24;1999;0;38863,1;466,59;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
39;BrasÃ­lia, DF;01/12/1996;12;16;37;45;52;56;0;73;4444;0;13459,05;221,09;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
40;BrasÃ­lia, DF;08/12/1996;3;5;8;12;46;47;0;189;12117;0;7789,93;121,51;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
41;BrasÃ­lia, DF;15/12/1996;12;26;35;38;39;47;1;148;10182;17019238,5;10114,7;147,03;;BA;0;0;0;NAO;SIM;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
;;;;;;;;;;;;;;;;;;;;;;
42;BrasÃ­lia, DF;22/12/1996;7;11;19;24;33;36;0;201;9580;0;3684,64;77,31;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
43;BrasÃ­lia, DF;29/12/1996;2;6;17;25;26;58;0;75;5070;0;9738,03;144,06;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
44;BrasÃ­lia, DF;05/01/1997;14;18;29;38;44;47;0;103;7742;0;7099,32;94,45;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
45;BrasÃ­lia, DF;12/01/1997;7;30;37;44;53;55;0;33;3004;0;27201,47;298,82;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
46;BrasÃ­lia, DF;19/01/1997;1;23;24;32;46;60;0;91;6263;0;9982,42;145,04;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
47;BrasÃ­lia, DF;26/01/1997;3;17;25;35;48;56;0;210;10873;0;4458,44;85,94;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
48;BrasÃ­lia, DF;02/02/1997;2;5;28;34;47;50;0;132;7454;0;7482,95;132,25;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
49;BrasÃ­lia, DF;09/02/1997;7;13;33;35;43;55;1;155;9830;8405156,76;6916,34;108,85;;RJ;0;0;0;NAO;SIM;Ganhador RJ (Barra Mansa)
;;;;;;;;;;;;;;;;;;;;;;
50;BrasÃ­lia, DF;16/02/1997;6;16;21;44;57;58;0;31;2800;0;25241,25;278,91;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
51;BrasÃ­lia, DF;23/02/1997;17;23;24;25;42;47;0;143;9361;0;7231,47;110,25;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
52;BrasÃ­lia, DF;02/03/1997;15;30;38;46;58;59;0;77;6442;0;15544,23;185,43;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
53;BrasÃ­lia, DF;09/03/1997;3;13;16;38;42;46;0;210;10941;0;6337,79;121,41;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
54;BrasÃ­lia, DF;16/03/1997;5;9;18;21;36;56;2;207;13067;7469653,99;7033,61;111,2;;BA;0;0;0;NAO;SIM;Ganhadores dos estados: BA e SP.
;;;;;;;;;;;;;;;;;;;;;;
55;BrasÃ­lia, DF;23/03/1997;2;14;23;29;38;52;0;66;3840;0;10817,63;185,56;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
56;BrasÃ­lia, DF;30/03/1997;2;7;20;35;51;59;0;48;2599;0;12142,2;223,81;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
57;BrasÃ­lia, DF;06/04/1997;7;16;17;27;34;59;0;79;6173;0;10699,1;136,65;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
58;BrasÃ­lia, DF;13/04/1997;12;27;30;37;44;49;1;65;5040;3631304,91;13601,07;175,06;;SP;0;0;0;NAO;SIM;Ganhador do Estado: SP
;;;;;;;;;;;;;;;;;;;;;;
59;BrasÃ­lia, DF;20/04/1997;2;8;13;28;34;54;0;90;5351;0;7312,34;122,75;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
60;BrasÃ­lia, DF;27/04/1997;3;14;15;20;21;38;0;129;7914;0;7111,47;115,69;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
61;BrasÃ­lia, DF;04/05/1997;8;18;29;42;44;59;0;52;3866;0;18902,94;253,76;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
62;BrasÃ­lia, DF;11/05/1997;6;8;13;24;31;52;0;119;8613;0;9968,7;137,46;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
63;BrasÃ­lia, DF;18/05/1997;9;25;26;40;41;49;1;82;6359;13680019,57;16246,91;209,1;;MG;0;0;0;NAO;SIM;
;;;;;;;;;;;;;;;;;;;;;;
64;BrasÃ­lia, DF;25/05/1997;8;12;23;50;54;60;0;29;2441;0;23309,96;276,38;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
65;BrasÃ­lia, DF;01/06/1997;1;5;20;25;32;34;0;61;4932;0;11542,37;142,48;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
66;BrasÃ­lia, DF;08/06/1997;12;13;15;26;33;48;0;102;7686;0;8054,25;106,68;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
67;BrasÃ­lia, DF;15/06/1997;12;14;17;27;47;52;0;83;5479;0;10617,25;160,52;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
68;BrasÃ­lia, DF;22/06/1997;1;3;12;13;53;59;0;49;4758;0;18496,73;190,11;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
69;BrasÃ­lia, DF;29/06/1997;25;34;45;53;56;58;0;55;3661;0;17271,48;258,96;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
70;BrasÃ­lia, DF;06/07/1997;17;23;27;40;43;58;0;95;6071;0;12899,52;201,46;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
71;BrasÃ­lia, DF;13/07/1997;16;27;33;43;45;53;0;115;7430;0;12451,74;192,35;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
72;BrasÃ­lia, DF;20/07/1997;1;19;34;43;44;48;0;85;7982;0;19676,33;209,13;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
73;BrasÃ­lia, DF;27/07/1997;25;26;28;45;51;57;1;95;8222;21026575,4;21205,27;244,52;;BA;0;0;0;NAO;SIM;GANHADOR: BA - SALVADOR
;;;;;;;;;;;;;;;;;;;;;;
74;BrasÃ­lia, DF;03/08/1997;2;24;34;37;38;50;0;40;3321;0;18257,68;219,48;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
75;BrasÃ­lia, DF;10/08/1997;21;24;35;36;37;49;0;70;5032;0;12395,02;172,09;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
76;BrasÃ­lia, DF;17/08/1997;8;17;18;23;33;53;0;92;6399;0;10247,61;147,04;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
77;BrasÃ­lia, DF;24/08/1997;21;29;40;49;54;57;0;20;2635;0;49648,81;376,09;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
78;BrasÃ­lia, DF;31/08/1997;12;22;25;31;32;46;0;103;5984;0;9907,36;170,19;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
79;BrasÃ­lia, DF;07/09/1997;2;13;17;25;31;43;1;247;13375;6770601,75;4404,85;81,18;;RS;0;0;0;NAO;SIM;O ganhador da SENA do Estado do Rio Grande do Sul
;;;;;;;;;;;;;;;;;;;;;;
80;BrasÃ­lia, DF;14/09/1997;23;28;37;40;48;51;0;43;4284;0;26443;264,89;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
81;BrasÃ­lia, DF;21/09/1997;10;23;41;47;54;60;0;62;4870;0;19453,15;247,17;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
82;BrasÃ­lia, DF;28/09/1997;15;18;29;36;51;53;1;77;5889;13877826,02;15982,73;208,57;;BA;0;0;0;NAO;SIM;Ganhador da SENA do Estado da Bahia.
;;;;;;;;;;;;;;;;;;;;;;
83;BrasÃ­lia, DF;05/10/1997;4;15;16;24;42;57;0;76;4756;0;9408,43;150,04;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
84;BrasÃ­lia, DF;12/10/1997;4;6;10;25;34;40;0;102;5546;0;7539,68;138,4;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
85;BrasÃ­lia, DF;19/10/1997;6;15;30;37;45;47;0;45;4312;0;17279,25;179,96;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
86;BrasÃ­lia, DF;26/10/1997;6;21;22;34;36;54;0;48;3752;0;16752,96;213,9;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
87;BrasÃ­lia, DF;02/11/1997;4;5;11;28;32;40;0;64;5195;0;12696,6;156,11;;;0;0;0;SIM;SIM;A SENA ESTA ACUMULADA.
;;;;;;;;;;;;;;;;;;;;;;
88;BrasÃ­lia, DF;09/11/1997;4;18;29;37;43;45;0;110;6805;0;7965,82;128,51;;;0;0;0;SIM;SIM;A MEGASENA ESTA ACUMULADA
;;;;;;;;;;;;;;;;;;;;;;
89;BrasÃ­lia, DF;16/11/1997;13;34;42;44;55;59;0;36;3847;0;24246;226,45;;;0;0;0;SIM;SIM;A MEGA SENA EST- ACUMULADA.
;;;;;;;;;;;;;;;;;;;;;;
90;BrasÃ­lia, DF;23/11/1997;9;21;26;40;52;54;1;74;4763;15764300,87;18584,49;288,17;;RJ;0;0;0;NAO;SIM;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
;;;;;;;;;;;;;;;;;;;;;;
91;BrasÃ­lia, DF;30/11/1997;2;4;10;35;39;60;0;68;3878;0;9588,8;167,81;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
92;;07/12/1997;1;3;5;23;24;51;0;75;5530;0;9792,64;132,56;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
93;;14/12/1997;2;22;28;31;36;53;0;61;3795;0;12369,31;198,44;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
